training loss,out_0,out_1,epoch,step
1.2384108304977417,-0.11317657679319382,-0.11283914744853973,24,49
1.2015794515609741,-0.09647016227245331,-0.09616581350564957,49,99
1.1687393188476562,-0.08135712146759033,-0.08108250051736832,74,149
1.139443039894104,-0.06769480556249619,-0.06744693964719772,99,199
1.113267183303833,-0.0553387850522995,-0.0551147386431694,124,249
1.089806079864502,-0.04414092004299164,-0.04393775761127472,149,299
1.0686687231063843,-0.03394961357116699,-0.03376433625817299,174,349
1.0494749546051025,-0.02460925094783306,-0.02443881146609783,199,399
1.031848430633545,-0.015958229079842567,-0.01579943858087063,224,449
1.0154099464416504,-0.007826022803783417,-0.007675513159483671,249,499
0.9997656345367432,-2.8703001589747146e-05,0.00011719337635440752,274,549
0.9844961166381836,0.007636834401637316,0.007782196160405874,299,599
0.969143271446228,0.015399797819554806,0.0155492527410388,324,649
0.9531981348991394,0.02352248504757881,0.023681333288550377,349,699
0.9360957741737366,0.03230534493923187,0.03247957304120064,374,749
0.9172255992889404,0.042084865272045135,0.04228105768561363,399,799
0.8959728479385376,0.05321688577532768,0.053441569209098816,424,849
0.8718050718307495,0.06603623926639557,0.06629497557878494,449,899
0.8444020748138428,0.08079057931900024,0.08108643442392349,474,949
0.8137983083724976,0.09756018221378326,0.09789229184389114,499,999
0.7804672122001648,0.11619661003351212,0.1165594533085823,524,1049
0.7452853918075562,0.13631671667099,0.13670086860656738,549,1099
0.7093681693077087,0.15736621618270874,0.15775999426841736,574,1149
0.6738450527191162,0.17872759699821472,0.17911936342716217,599,1199
0.6396688222885132,0.19982706010341644,0.20020699501037598,624,1249
0.6075161099433899,0.22020594775676727,0.22056682407855988,649,1299
0.577775776386261,0.23954693973064423,0.2398843914270401,674,1349
0.5505972504615784,0.2576657235622406,0.25797760486602783,699,1399
0.5259583592414856,0.2744843065738678,0.27477017045021057,724,1449
0.5037286281585693,0.29000094532966614,0.29026156663894653,749,1499
0.48372069001197815,0.3042629659175873,0.30449968576431274,774,1549
0.46572360396385193,0.31734585762023926,0.3175605833530426,799,1599
0.44952553510665894,0.32933884859085083,0.3295333683490753,824,1649
0.4349253177642822,0.34033510088920593,0.3405113220214844,849,1699
0.42173877358436584,0.3504261374473572,0.35058578848838806,874,1749
0.409801185131073,0.3596980571746826,0.35984283685684204,899,1799
0.39896640181541443,0.3682307004928589,0.3683621287345886,924,1849
0.38910672068595886,0.3760965168476105,0.3762158155441284,949,1899
0.380110502243042,0.38336050510406494,0.38346895575523376,974,1949
0.37188059091567993,0.39008113741874695,0.390179842710495,999,1999
